Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
165 6548.810 1484.711 [100.000 0.010 100.000 10.000 0.001 0.008] 2564.165395 
166 2824.892 1484.711 [9.341 0.010 0.082 10.000 0.000 0.011] 2604.347415 
167 3327.861 1484.711 [4.315 0.010 0.033 10.000 0.004 0.009] 2637.592646 
168 4188.122 1484.711 [0.296 2.553 0.102 0.999 3.000 0.023] 2685.266131 
169 1728.745 1484.711 [1.352 8.016 0.171 2.461 0.587 0.191] 2727.595458 
170 2763.248 1484.711 [31.098 0.349 0.065 4.345 0.014 0.099] 2762.010348 
171 5871.115 1484.711 [100.000 0.010 100.000 0.431 0.000 0.007] 2801.937092 
172 2482.655 1484.711 [100.000 0.010 1.051 2.373 0.000 0.040] 2847.282731 
173 10077.076 1484.711 [3.441 0.010 100.000 10.000 0.000 0.003] 2884.670669 
174 12841.088 1484.711 [0.010 0.010 0.769 0.177 0.000 0.000] 2930.937089 
175 2640.889 1484.711 [27.165 0.010 0.320 10.000 0.000 0.034] 2987.503157 
176 2878.863 1484.711 [100.000 0.010 3.430 0.491 0.001 0.011] 3029.379790 
177 3764.124 1484.711 [100.000 0.010 2.031 0.321 0.000 0.007] 3069.339641 
178 4154.925 1484.711 [1.177 0.010 0.056 10.000 0.045 0.039] 3110.550046 
179 10286.126 1484.711 [100.000 0.010 100.000 0.388 0.003 0.002] 3143.500853 
180 3537.692 1484.711 [100.000 0.010 1.321 0.246 0.000 0.041] 3187.449687 
181 2422.263 1484.711 [100.000 0.010 0.422 0.544 0.014 0.017] 3238.195364 
182 2002.680 1484.711 [100.000 0.100 0.195 0.925 0.030 0.058] 3282.364068 
183 3523.709 1484.711 [100.000 0.079 0.327 0.279 0.008 0.020] 3323.183978 
184 5778.083 1484.711 [100.000 0.333 0.171 1.544 0.128 0.458] 3362.354001 
185 2099.521 1484.711 [100.000 0.061 0.136 1.711 0.026 0.028] 3399.765026 
186 1840.310 1484.711 [100.000 0.038 0.359 1.389 0.014 0.044] 3438.320987 
187 21573.695 1484.711 [0.010 100.000 0.010 10.000 0.000 0.013] 3481.010556 
188 3592.886 1484.711 [1.411 100.000 0.553 0.445 3.000 0.765] 3522.133395 
189 2206.452 1484.711 [100.000 0.010 1.181 1.599 0.004 0.028] 3574.992329 
190 1959.783 1484.711 [30.617 0.054 0.188 1.332 0.026 0.034] 3620.969480 
191 1762.864 1484.711 [1.615 30.882 0.193 2.503 0.862 0.304] 3675.817836 
192 2642.671 1484.711 [13.425 0.010 0.207 10.000 0.001 0.012] 3722.458891 
193 1534.617 1484.711 [1.291 16.926 0.126 1.811 0.368 0.212] 3771.923888 
194 12537.585 1484.711 [100.000 100.000 1.336 0.010 0.000 3.000] 3817.550084 
195 3722.359 1484.711 [48.788 0.010 0.231 2.187 0.036 0.031] 3861.705491 
196 2214.756 1484.711 [60.861 0.125 0.197 1.682 0.019 0.039] 3906.752338 
197 2319.845 1484.711 [5.217 0.058 0.068 1.918 0.031 0.017] 3960.310479 
198 1623.521 1484.711 [2.271 100.000 0.153 2.344 0.011 0.364] 3996.577217 
