
[000:01:30]	7296.46359782	[    91.499,     18.167,      0.542,      4.676,      0.698,      1.085]	c

[000:01:31]	21088.2946456	[    75.934,     14.642,     30.827,      3.836,      1.545,      3.220]	r

[000:01:31]	18896.5543313	[    50.703,     25.990,     26.684,      1.595,      0.660,      0.397]	r

[000:01:32]	4234.26916256	[    77.667,     14.456,      0.542,      3.597,      0.531,      4.239]	rmmmm

[000:01:34]	4361.28058291	[    77.667,     22.699,      0.542,      3.597,      0.531,      4.239]	rmmmm

[000:01:34]	3529.82270437	[    98.659,     12.916,      0.542,      1.741,      1.619,      4.239]	cm

[000:01:35]	3434.38464489	[    72.969,     12.916,      0.542,      1.741,      1.619,      4.239]	cm

[000:01:37]	4998.31150394	[   100.000,     18.167,      0.542,      4.676,      0.698,      4.239]	rmmm

[000:01:38]	4936.37537789	[    50.052,     18.167,      0.542,      4.676,      0.698,      4.239]	rmmm

[000:01:39]	7251.37023155	[    77.667,     18.167,      0.542,      4.676,      0.698,      1.085]	c

[000:01:41]	6868.6067273	[    77.667,     11.773,      0.944,      4.676,      0.960,      6.254]	c

[000:01:42]	3419.73267693	[    77.540,     11.773,      0.542,      1.741,      1.619,      4.239]	c

[000:01:44]	16517.2848882	[    20.542,     51.841,      8.655,      4.363,      1.888,      4.942]	r

[000:01:44]	14351.685969	[    10.051,     31.999,     85.245,      1.621,      3.171,      0.794]	r

[000:01:45]	2899.72910249	[    77.667,     17.734,      0.228,      3.597,      0.531,      4.239]	rmmmmm

[000:01:47]	4802.92171816	[    77.667,     10.312,      0.651,      3.597,      0.531,      4.239]	rmmmmm

[000:01:48]	4449.33238055	[    77.667,     18.167,      0.542,      3.844,      0.531,      4.239]	rmmmm

[000:01:49]	4056.13381801	[    77.667,     18.167,      0.542,      3.184,      0.531,      4.239]	rmmmm

[000:01:50]	13309.5645211	[    10.051,     31.999,     85.245,      0.857,      3.171,      1.018]	rm

[000:01:50]	14531.2836789	[    10.051,     31.999,     85.245,      2.232,      3.171,      0.548]	rm

[000:01:52]	4911.77404273	[    91.499,     12.916,      0.542,      4.676,      1.619,      4.239]	c

[000:01:52]	6749.26018171	[    77.667,     18.167,      0.542,      3.597,      0.531,      1.085]	c

[000:01:54]	4880.022032	[    77.667,     11.773,      0.542,      4.676,      1.619,      4.239]	c

[000:01:55]	19027.2486959	[    42.896,     16.034,     14.696,      2.746,      0.717,      1.875]	r

[000:01:55]	18032.180077	[    18.997,     20.435,     60.884,      1.315,      2.121,      3.716]	r

[000:01:56]	2923.82594147	[    77.667,     17.734,      0.228,      3.597,      0.531,      3.294]	rmmmmmm

[000:01:58]	3301.98187722	[    77.667,     17.734,      0.228,      3.597,      0.531,      6.725]	rmmmmmm

[000:01:59]	6142.37582298	[    77.667,     18.167,      0.542,      3.597,      0.265,      1.416]	cm

[000:01:59]	7226.97956114	[    77.667,     18.167,      0.542,      3.597,      0.722,      0.923]	cm

[000:02:00]	2950.6923103	[    77.667,     11.012,      0.228,      3.597,      0.531,      4.239]	rmmmmmm

[000:02:02]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	rmmmmmm

[000:02:03]	2914.30078703	[    91.499,     17.734,      0.228,      3.597,      0.531,      4.239]	c

[000:02:04]	3601.09302537	[    72.969,     12.916,      0.542,      1.741,      0.531,      4.239]	c

[000:02:05]	2897.82476943	[    77.667,     18.167,      0.228,      3.597,      0.531,      4.239]	c

[000:02:05]	20743.4344919	[    78.955,     10.613,     28.681,      2.449,      0.778,      1.436]	r

[000:02:06]	19005.9630269	[    52.061,     37.519,     10.503,      4.236,      0.018,      1.773]	r

[000:02:07]	4258.64713574	[    72.969,     12.916,      0.760,      1.741,      0.727,      4.239]	cm

[000:02:07]	5080.63152621	[    72.969,     12.916,      0.184,      1.741,      0.417,      4.239]	cm

[000:02:08]	3242.71516295	[    72.969,     12.916,      0.542,      1.741,      0.531,      5.199]	cm

